file_path,filename,dataset,actor_id,modality_code,vocal_channel_code,emotion_code,ravdess_emotion_label,emotion_label,sentiment_label,intensity_code,statement_code,repetition_code,is_negative,split
/Users/clarayousif/Sheridan/Third/ai-ml-capstone/ml-services/data/raw/ravdess/audio_speech_actors_01-24/Actor_01/03-01-05-01-01-01-01.wav,03-01-05-01-01-01-01.wav,RAVDESS,1,03,01,05,angry,anger,Negative,01,01,01,True,test
/Users/clarayousif/Sheridan/Third/ai-ml-capstone/ml-services/data/raw/ravdess/audio_speech_actors_01-24/Actor_01/03-01-05-01-01-02-01.wav,03-01-05-01-01-02-01.wav,RAVDESS,1,03,01,05,angry,anger,Negative,01,01,02,True,test
/Users/clarayousif/Sheridan/Third/ai-ml-capstone/ml-services/data/raw/ravdess/audio_speech_actors_01-24/Actor_01/03-01-05-01-02-01-01.wav,03-01-05-01-02-01-01.wav,RAVDESS,1,03,01,05,angry,anger,Negative,01,02,01,True,test
/Users/clarayousif/Sheridan/Third/ai-ml-capstone/ml-services/data/raw/ravdess/audio_speech_actors_01-24/Actor_01/03-01-05-01-02-02-01.wav,03-01-05-01-02-02-01.wav,RAVDESS,1,03,01,05,angry,anger,Negative,01,02,02,True,test
/Users/clarayousif/Sheridan/Third/ai-ml-capstone/ml-services/data/raw/ravdess/audio_speech_actors_01-24/Actor_01/03-01-05-02-01-01-01.wav,03-01-05-02-01-01-01.wav,RAVDESS,1,03,01,05,angry,anger,Negative,02,01,01,True,test
/Users/clarayousif/Sheridan/Third/ai-ml-capstone/ml-services/data/raw/ravdess/audio_speech_actors_01-24/Actor_01/03-01-05-02-01-02-01.wav,03-01-05-02-01-02-01.wav,RAVDESS,1,03,01,05,angry,anger,Negative,02,01,02,True,test
/Users/clarayousif/Sheridan/Third/ai-ml-capstone/ml-services/data/raw/ravdess/audio_speech_actors_01-24/Actor_01/03-01-05-02-02-01-01.wav,03-01-05-02-02-01-01.wav,RAVDESS,1,03,01,05,angry,anger,Negative,02,02,01,True,test
/Users/clarayousif/Sheridan/Third/ai-ml-capstone/ml-services/data/raw/ravdess/audio_speech_actors_01-24/Actor_01/03-01-05-02-02-02-01.wav,03-01-05-02-02-02-01.wav,RAVDESS,1,03,01,05,angry,anger,Negative,02,02,02,True,test
/Users/clarayousif/Sheridan/Third/ai-ml-capstone/ml-services/data/raw/ravdess/audio_speech_actors_01-24/Actor_01/03-01-07-01-01-01-01.wav,03-01-07-01-01-01-01.wav,RAVDESS,1,03,01,07,disgust,disgust,Negative,01,01,01,True,test
/Users/clarayousif/Sheridan/Third/ai-ml-capstone/ml-services/data/raw/ravdess/audio_speech_actors_01-24/Actor_01/03-01-07-01-01-02-01.wav,03-01-07-01-01-02-01.wav,RAVDESS,1,03,01,07,disgust,disgust,Negative,01,01,02,True,test
/Users/clarayousif/Sheridan/Third/ai-ml-capstone/ml-services/data/raw/ravdess/audio_speech_actors_01-24/Actor_01/03-01-07-01-02-01-01.wav,03-01-07-01-02-01-01.wav,RAVDESS,1,03,01,07,disgust,disgust,Negative,01,02,01,True,test
/Users/clarayousif/Sheridan/Third/ai-ml-capstone/ml-services/data/raw/ravdess/audio_speech_actors_01-24/Actor_01/03-01-07-01-02-02-01.wav,03-01-07-01-02-02-01.wav,RAVDESS,1,03,01,07,disgust,disgust,Negative,01,02,02,True,test
/Users/clarayousif/Sheridan/Third/ai-ml-capstone/ml-services/data/raw/ravdess/audio_speech_actors_01-24/Actor_01/03-01-07-02-01-01-01.wav,03-01-07-02-01-01-01.wav,RAVDESS,1,03,01,07,disgust,disgust,Negative,02,01,01,True,test
/Users/clarayousif/Sheridan/Third/ai-ml-capstone/ml-services/data/raw/ravdess/audio_speech_actors_01-24/Actor_01/03-01-07-02-01-02-01.wav,03-01-07-02-01-02-01.wav,RAVDESS,1,03,01,07,disgust,disgust,Negative,02,01,02,True,test
/Users/clarayousif/Sheridan/Third/ai-ml-capstone/ml-services/data/raw/ravdess/audio_speech_actors_01-24/Actor_01/03-01-07-02-02-01-01.wav,03-01-07-02-02-01-01.wav,RAVDESS,1,03,01,07,disgust,disgust,Negative,02,02,01,True,test
/Users/clarayousif/Sheridan/Third/ai-ml-capstone/ml-services/data/raw/ravdess/audio_speech_actors_01-24/Actor_01/03-01-07-02-02-02-01.wav,03-01-07-02-02-02-01.wav,RAVDESS,1,03,01,07,disgust,disgust,Negative,02,02,02,True,test
/Users/clarayousif/Sheridan/Third/ai-ml-capstone/ml-services/data/raw/ravdess/audio_speech_actors_01-24/Actor_01/03-01-06-01-01-01-01.wav,03-01-06-01-01-01-01.wav,RAVDESS,1,03,01,06,fearful,fear,Negative,01,01,01,True,test
